id,web_name,team_name,position,price,ep_total,exp_minutes
82,Semenyo,Bournemouth,MID,7.7,12.85,386.4551599999999
84,Tavernier,Bournemouth,MID,5.6,12.85,334.38693599999993
85,Adams,Bournemouth,MID,5.0,12.85,0.0
86,Brooks,Bournemouth,MID,5.0,12.85,349.12349333333333
87,Christie,Bournemouth,MID,4.9,12.85,345.2774866666666
88,Cook,Bournemouth,MID,4.9,12.85,346.528
89,Philip,Bournemouth,MID,4.9,12.85,0.0
90,Scott,Bournemouth,MID,5.0,12.85,323.407188
91,Sinisterra,Bournemouth,MID,5.0,12.85,0.0
92,Faivre,Bournemouth,MID,4.5,12.85,0.0
93,H.Traorè,Bournemouth,MID,4.5,12.85,0.0
94,Sadi,Bournemouth,MID,4.5,12.85,0.0
95,Silcott-Duberry,Bournemouth,MID,4.4,12.85,0.0
96,Winterburn,Bournemouth,MID,4.5,12.85,0.0
97,Evanilson,Bournemouth,FWD,7.0,10.0,364.83494666666667
98,Enes Ünal,Bournemouth,FWD,5.4,10.0,347.802
99,Adu-Adjei,Bournemouth,FWD,4.4,10.0,0.0
100,Kroupi.Jr,Bournemouth,FWD,4.6,10.0,320.815404
391,Gannon-Doak,Bournemouth,MID,4.8,12.85,0.0
685,Diakité,Bournemouth,DEF,4.4,21.41,393.00524444444443
687,Rees-Dottin,Bournemouth,MID,4.4,12.85,309.60306
697,Adli,Bournemouth,MID,5.4,12.85,321.04800000000006
713,A.Jimenez,Bournemouth,DEF,4.5,21.41,356.1317250000001
721,Milosavljević,Bournemouth,DEF,4.4,21.41,0.0
756,DaCosta,Bournemouth,MID,4.5,12.85,309.582
27,Nelson,Brentford,MID,4.8,13.08,345.2774866666666
83,O.Dango,Brentford,MID,5.9,13.08,0.0
101,Kelleher,Brentford,GK,4.5,22.3,431.66360000000003
102,Balcombe,Brentford,GK,4.0,22.3,357.28290000000004
103,Cox,Brentford,GK,3.9,22.3,357.25860000000006
104,Eyestone,Brentford,GK,3.9,22.3,357.2343
105,Valdimarsson,Brentford,GK,3.9,22.3,357.3801
106,Collins,Brentford,DEF,4.9,22.3,362.74940000000004
107,Lewis-Potter,Brentford,DEF,4.8,22.3,375.156
108,Ajer,Brentford,DEF,4.4,22.3,376.28952222222216
109,Henry,Brentford,DEF,4.3,22.3,353.632555
110,Kayode,Brentford,DEF,4.5,22.3,353.776885
111,Pinnock,Brentford,DEF,4.2,22.3,380.42921111111116
112,Roerslev,Brentford,DEF,4.5,22.3,0.0
113,Van den Berg,Brentford,DEF,4.5,22.3,356.4224250000001
114,Arthur,Brentford,DEF,3.9,22.3,374.90099999999995
115,Fredrick,Brentford,DEF,4.0,22.3,0.0
116,Hickey,Brentford,DEF,4.0,22.3,395.8095833333333
117,Ji-soo,Brentford,DEF,3.9,22.3,0.0
118,Meghoma,Brentford,DEF,4.0,22.3,0.0
120,Schade,Brentford,MID,7.0,13.08,354.3647466666667
121,Damsgaard,Brentford,MID,5.8,13.08,323.473176
122,Milambo,Brentford,MID,5.2,13.08,0.0
123,Carvalho,Brentford,MID,4.7,13.08,0.0
124,Henderson,Brentford,MID,5.0,13.08,372.13453333333337
125,Janelt,Brentford,MID,4.9,13.08,363.09000000000003
126,Jensen,Brentford,MID,4.9,13.08,322.21651800000006
127,Nunes,Brentford,MID,4.9,13.08,343.98
128,Onyeka,Brentford,MID,4.8,13.08,0.0
129,Yarmoliuk,Brentford,MID,5.0,13.08,355.47018
130,Donovan,Brentford,MID,4.4,13.08,309.60306
131,Konak,Brentford,MID,4.3,13.08,309.62412000000006
132,Maghoma,Brentford,MID,4.5,13.08,343.98
133,Peart-Harris,Brentford,MID,4.4,13.08,309.582
134,Trevitt,Brentford,MID,4.5,13.08,0.0
136,Thiago,Brentford,FWD,7.1,10.0,377.3016
137,Morgan,Brentford,FWD,4.4,10.0,309.66624
748,Dasilva,Brentford,MID,4.9,13.08,0.0
138,Steele,Brighton,GK,4.2,21.52,357.28290000000004
139,Verbruggen,Brighton,GK,4.4,21.52,389.03661
140,McGill,Brighton,GK,3.9,21.52,357.28290000000004
141,Rushworth,Brighton,GK,4.0,21.52,0.0
