fpl_id,fpl_name,xg_per90,xa_per90,match_score
111,Ethan Pinnock,0.044134134683898305,0.07109078418884318,100.0
112,Mads Roerslev Rasmussen,0.018512981437125948,0.23275655957562047,90.0
113,Sepp van den Berg,0.07428885741784974,0.03561833005779345,100.0
114,Benjamin Arthur,0.0,0.0,0.0
115,Benjamin Fredrick,0.0,0.0,0.0
116,Aaron Hickey,0.0,0.0,0.0
117,Kim Ji-soo,0.0,0.0,0.0
118,Jayden Meghoma,0.0,0.0,0.0
120,Kevin Schade,0.3654029987126231,0.14335636599436657,100.0
121,Mikkel Damsgaard,0.10507219519198462,0.27943692261089187,100.0
122,Antoni Milambo,0.0,0.0,0.0
123,Fábio Freitas Gouveia Carvalho,0.0,0.0,0.0
124,Jordan Henderson,0.0002875702308588906,0.0027860649126140694,86.66666666666667
125,Vitaly Janelt,0.036962412368899265,0.09218218548306682,100.0
126,Mathias Jensen,0.02960090228653216,0.2184137910768226,100.0
127,Gustavo Nunes Fernandes Gomes,0.0,0.0,0.0
128,Frank Onyeka,0.0,0.0,0.0
129,Yehor Yarmoliuk,0.050075809960648164,0.06518580311498905,93.33333333333333
130,Romelle Donovan,0.0,0.0,0.0
131,Yunus Emre Konak,0.0,0.0,0.0
132,Paris Maghoma,0.0,0.0,0.0
133,Myles Peart-Harris,0.0,0.0,0.0
134,Ryan Trevitt,0.0,0.0,0.0
136,Igor Thiago Nascimento Rodrigues,0.0,0.0,0.0
137,Iwan Morgan,0.0,0.0,0.0
138,Jason Steele,0.0,0.0,100.0
139,Bart Verbruggen,0.0,0.0014750521837009324,100.0
140,Tom McGill,0.0,0.0,0.0
141,Carl Rushworth,0.0,0.0,0.0
142,Kjell Scherpen,0.0,0.0,0.0
143,Olivier Boscagli,0.0,0.0,0.0
144,Diego Coppola,0.0,0.0,0.0
145,Maxim De Cuyper,0.0,0.0,0.0
146,Lewis Dunk,0.04783123290766275,0.022329446464862835,100.0
147,Pervis Estupiñán Tenorio,0.04935581119306472,0.08688596311256215,90.0
148,Ferdi Kadıoğlu,0.0,0.0,0.0
150,Tariq Lamptey,0.035083616280864025,0.0927488427480747,100.0
151,Jan Paul van Hecke,0.030391285910317013,0.04736088371001169,100.0
152,Joël Veltman,0.04188520511092842,0.03973677789177333,100.0
153,Adam Webster,0.03815570761248268,0.038705743673081335,100.0
154,Eiran Cashin,0.0,0.0,0.0
155,Jacob Slater,0.0,0.0,0.0
156,Charlie Tasker,0.0,0.0,0.0
157,Mitoma Kaoru,0.3527770426547143,0.17079311662262156,95.0
158,Georginio Rutter,0.3043093259749738,0.16790960983613407,100.0
159,Solly March,0.0,0.0,0.0
160,Yankuba Minteh,0.2785400628807698,0.2393368728139629,100.0
161,Julio Enciso Espínola,0.21113362037321579,0.1716488747130314,90.0
162,Brajan Gruda,0.13334783088219793,0.29903868752482693,100.0
163,Jack Hinshelwood,0.1576949072992715,0.06887495929980124,100.0
164,Matt O'Riley,0.0,0.0,0.0
165,Abdallah Sima,0.0,0.0,0.0
166,Yasin Ayari,0.10171282222446434,0.14178547660547433,100.0
167,Carlos Baleba,0.09548123761049013,0.05392507314380364,100.0
169,Diego Gómez Amarilla,0.16213411201380606,0.29239693151698953,90.0
170,James Milner,0.0,0.0,0.0
171,Jeremy Sarmiento Morante,0.0,0.0,0.0
172,Tom Watson,0.0,0.0,0.0
173,Mats Wieffer,0.10013904971134686,0.09719121334923483,100.0
174,Malick Yalcouyé,0.0,0.0,0.0
175,Joe Knight,0.0,0.0,0.0
176,Adrian Mazilu,0.0,0.0,0.0
177,Andrew Moran,0.0,0.0,0.0
178,Danny Welbeck,0.4372874616738755,0.08685483225036177,100.0
179,Evan Ferguson,0.3909549534408228,0.20927393694252563,100.0
180,Stefanos Tzimas,0.0,0.0,0.0
181,Charalampos Kostoulas,0.0,0.0,0.0
